Country,Amount
Australia,21967.23
Belgium,21170.248
Canada,16792.385
Chile,6998.2891
Czech ,8399.0879
Estonia,8594.9775
France,20413.598
Germany,20847.443
Greece,11492.088
Hungary,9155.1201
Ireland,18942.762
Israel,13059.677
Japan,15292.12
Korea,14440.917
Latvia,7829.6172
Luxembourg,22836.064
Mexico,1895.653
Netherlands,22209.799
New Zealand,19346.395
Poland,11977.516
Portugal,10941.056
Slovak,8979.9912
Slovenia,14520.798
Spain,12317.413
Turkey,12074.759
United Kingdom,17568.326
"United
 States",14892.122
Colombia,6950.1768
Costa Rica,10859.747
Lithuania,8319.624
Brazil,4753.5991
Russian,3199.1631
